stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2722,2722,Monroe & Winton,STATE HWY 31 & WINTON RD S,43.127081,-77.565109,,,,,,0,
2723,2723,Monroe & Winton,STATE HWY 31 & WINTON RD S,43.127168,-77.565517,,,,,,0,
2726,2726,Monroe Community Hospital & Faith,,43.112535,-77.618039,,,,,,0,
2727,2727,Monroe County DSS,,43.113752,-77.619621,,,,,,0,
2741,2741,College Town,MOUNT HOPE AVE & STATE HWY 15,43.123399,-77.618419,,,,,,0,
2742,2742,Mt Hope & Alexander,STATE HWY 15 & ALEXANDER ST,43.145744,-77.609297,,,,,,0,
2743,2743,Mt Hope & Alexander,STATE HWY 15 & ALEXANDER ST,43.146132,-77.609135,,,,,,0,
2744,2744,Mt Hope & Averill,STATE HWY 15 & AVERILL AVE,43.143704,-77.611212,,,,,,0,
2745,2745,Mt Hope & Averill,STATE HWY 15 & AVERILL AVE,43.143976,-77.611187,,,,,,0,
2746,2746,Mt Hope & Cimarron,STATE HWY 15 & CIMARRON DR,43.115444,-77.621942,,,,,,0,
2747,2747,Mt Hope & Comfort,STATE HWY 15 & COMFORT ST,43.147323,-77.607997,,,,,,0,
2749,2749,Mt Hope & Cypress,STATE HWY 15 & CYPRESS ST,43.139669,-77.614124,,,,,,0,
2750,2750,Mt Hope & Cypress,STATE HWY 15 & CYPRESS ST,43.13986,-77.613819,,,,,,0,
2751,2751,Mt Hope & Elmerston,STATE HWY 15 & ELMERSTON RD,43.116219,-77.621806,,,,,,0,
2752,2752,Mt Hope & Elmwood,STATE HWY 15 & ELMWOOD AVE,43.124906,-77.617539,,,,,,0,
2753,2753,Mt Hope & Elmwood,STATE HWY 15 & ELMWOOD AVE,43.124503,-77.617436,,,,,,0,
2757,2757,Mt Hope & Gregory,STATE HWY 15 & GREGORY ST,43.142161,-77.612568,,,,,,0,
2758,2758,Mt Hope & Gregory,STATE HWY 15 & GREGORY ST,43.141535,-77.612864,,,,,,0,
2759,2759,Mt Hope & Hamilton,STATE HWY 15 & HAMILTON ST,43.144992,-77.610248,,,,,,0,
2760,2760,Mt Hope & Hamilton,STATE HWY 15 & HAMILTON ST,43.144764,-77.610283,,,,,,0,
2763,2763,Mt Hope & Highland,STATE HWY 15 & HIGHLAND AVE,43.131002,-77.614106,,,,,,0,
2764,2764,Mt Hope & Highland,STATE HWY 15 & HIGHLAND AVE,43.130362,-77.61428,,,,,,0,
2765,2765,Mt Hope & Lattimore,STATE HWY 15 & IRVINGTON RD,43.118804,-77.620442,,,,,,0,
2767,2767,Mt Hope & Lattimore,STATE HWY 15 & LATTIMORE RD,43.118544,-77.620422,,,,,,0,
2768,2768,Mt Hope & McLean,STATE HWY 15 & MCLEAN ST,43.136621,-77.614358,,,,,,0,
2769,2769,Mt Hope & McLean,STATE HWY 15 & MCLEAN ST,43.136693,-77.614222,,,,,,0,
2770,2770,Mt Hope & Redfern,STATE HWY 15 & REDFERN DR,43.116961,-77.621178,,,,,,0,
2772,2772,Mt Hope & Robinson,STATE HWY 15 & ROBINSON DR,43.134681,-77.613753,,,,,,0,
2773,2773,Mt Hope & Robinson,STATE HWY 15 & ROBINSON DR,43.134464,-77.613528,,,,,,0,
2774,2774,Mt Hope & Rossiter,STATE HWY 15 & ROSSITER RD,43.120445,-77.61961,,,,,,0,
2776,2776,Mt Hope & Shelbourne,STATE HWY 15 & SHELBOURNE RD,43.117153,-77.621335,,,,,,0,
2778,2778,Mt Hope & Stewart,STATE HWY 15 & STEWART ST,43.127902,-77.615738,,,,,,0,
2779,2779,Mt Hope & Stewart,STATE HWY 15 & STEWART ST,43.127744,-77.615982,,,,,,0,
2780,2780,Mt Hope & Westfall,STATE HWY 15 & WESTFALL RD,43.113615,-77.622811,,,,,,0,
2781,2781,Mt Hope & Westmoreland,STATE HWY 15 & WESTMORELAND DR,43.114617,-77.62262,,,,,,0,
2784,2784,Mt Read & 3750 Mt Read,COUNTY HWY 150 & FRONTAGE RD,43.227238,-77.658929,,,,,,0,
2788,2788,Mt Read & Dorsey,COUNTY HWY 150 & COUNTY HWY 267,43.230896,-77.658955,,,,,,0,
2794,2794,Mt Read & Handy,STATE RTE 940K & HANDY ST,43.152913,-77.659465,,,,,,0,
2796,2796,Mt Read & Jay,STATE RTE 940K & JAY ST,43.159062,-77.659658,,,,,,0,
2797,2797,Mt Read & Jay,STATE RTE 940K & JAY ST,43.159293,-77.659352,,,,,,0,
2804,2804,Mt Read & Maiden,COUNTY HWY 150 & MAIDEN LN,43.225131,-77.659198,,,,,,0,
2808,2808,Mt Read & Maple,STATE RTE 940K & MAPLE ST,43.155192,-77.659346,,,,,,0,
2809,2809,Mt Read & McArdle,STATE RTE 940K & MCARDLE ST,43.153263,-77.659718,,,,,,0,
2810,2810,Mt Read & McArdle,STATE RTE 940K & MCARDLE ST,43.153826,-77.65942,,,,,,0,
2813,2813,Mt Read & N Point Ctr,COUNTY HWY 150,43.225399,-77.658899,,,,,,0,
2831,2831,Myrtle & Otis,MYRTLE ST & OTIS ST,43.168723,-77.641437,,,,,,0,
2832,2832,Myrtle & Otis,,43.168564,-77.641314,,,,,,0,
