route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
37742,RGRTA,442,St Paul-N Clinton/Genesee,,3,,748693,FFFFFF
37743,RGRTA,443,Joseph-Hudson/Genesee,,3,,748693,FFFFFF
37744,RGRTA,445,Winton-N Mrktvw-Bchwd/Genesee,,3,,748693,FFFFFF
37745,RGRTA,446,Lyell-Otis-Edgerton/Genesee,,3,,748693,FFFFFF
37746,RGRTA,447,City SE/Genesee,,3,,748693,FFFFFF
37747,RGRTA,450,N Goodman-Portland/Genesee,,3,,748693,FFFFFF
37748,RGRTA,480,N Winton Vilg-N Mrktvw/Univ,,3,,748693,FFFFFF
37749,RGRTA,481,Gen-19th Ward SE/University,,3,,748693,FFFFFF
37750,RGRTA,482,Nrthlnd-Lyceum-Hudson/Univ,,3,,748693,FFFFFF
37751,RGRTA,483,St Paul-N Clin-Joseph/Univ,,3,,748693,FFFFFF
37752,RGRTA,484,Dutchtown-Edgerton/University,,3,,748693,FFFFFF
37753,RGRTA,485,Mplwood-Charlotte-Dewey/Univ,,3,,748693,FFFFFF
37754,RGRTA,486,Plymouth-19th Ward NW/Univ,,3,,748693,FFFFFF
37755,RGRTA,487,City SE/University,,3,,748693,FFFFFF
37756,RGRTA,751,Maplewood-Charlotte/Monroe,,3,,748693,FFFFFF
37757,RGRTA,752,Maplwood-Dewey/Monroe,,3,,748693,FFFFFF
37758,RGRTA,753,19th Ward-Plym-City SE/Monroe,,3,,748693,FFFFFF
37759,RGRTA,757,Dutchtown/Monroe,,3,,748693,FFFFFF
37760,RGRTA,758,Genesee-19th Ward SE/Monroe,,3,,748693,FFFFFF
37761,RGRTA,759,Lyell-Otis-Edgerton/Monroe,,3,,748693,FFFFFF
37762,RGRTA,760,N Goodman-Portland/Monroe,,3,,748693,FFFFFF
37763,RGRTA,761,Hudson/Monroe,,3,,748693,FFFFFF
37764,RGRTA,762,St Paul/Monroe,,3,,748693,FFFFFF
37765,RGRTA,763,Northland-Lyceum/Monroe,,3,,748693,FFFFFF
37766,RGRTA,764,N Clinton/Monroe,,3,,748693,FFFFFF
37767,RGRTA,765,NWint Vlg-Bchwd-Cob Hill/Mnro,,3,,748693,FFFFFF
37768,RGRTA,768,N Wntn Vlg-Beechwood/Monroe,,3,,748693,FFFFFF
37769,RGRTA,773,NGood-Northland-Portland/Lake,,3,,748693,FFFFFF
37770,RGRTA,775,Joseph-Hudson/Lake,,3,,748693,FFFFFF
37771,RGRTA,776,StPaul-NClinton/Lake,,3,,748693,FFFFFF
37772,RGRTA,778,Maplewood-Dewey/Lake,,3,,748693,FFFFFF
37773,RGRTA,779,Edgerton/Lake,,3,,748693,FFFFFF
37774,RGRTA,780,Lyell-Otis-Dutchtwn/Lake,,3,,748693,FFFFFF
37775,RGRTA,781,NWinVill-NMktvw-Bchwd/Lake,,3,,748693,FFFFFF
37776,RGRTA,783,Genesee-19thWardSE/Lake,,3,,748693,FFFFFF
37777,RGRTA,784,19th Ward NW-Plymouth/Lake,,3,,748693,FFFFFF
37778,RGRTA,785,City SE/Lake,,3,,748693,FFFFFF
37779,RGRTA,800,Misc School AM & REG,,3,,748693,FFFFFF
37780,RGRTA,807,Monroe Ave,,3,,748693,FFFFFF
37781,RGRTA,810,Misc School - ED,,3,,748693,FFFFFF
37782,RGRTA,825,Plymouth/E Main,,3,,748693,FFFFFF
37783,RGRTA,826,N Clinton-St Paul/E Main,,3,,748693,FFFFFF
37784,RGRTA,827,Genesee-19th Ward SE/E Main,,3,,748693,FFFFFF
37785,RGRTA,828,Portland/E Main,,3,,748693,FFFFFF
37786,RGRTA,829,19th Ward NW/E Main,,3,,748693,FFFFFF
37787,RGRTA,830,Dutchtown/E Main,,3,,748693,FFFFFF
37788,RGRTA,831,Maplewood/E Main,,3,,748693,FFFFFF
37789,RGRTA,834,Joseph/E Main,,3,,748693,FFFFFF
37790,RGRTA,835,Hudson/E Main,,3,,748693,FFFFFF
37791,RGRTA,837,N Marketview-Homestead/E Main,,3,,748693,FFFFFF
37792,RGRTA,839,City SE/E Main,,3,,748693,FFFFFF
37793,RGRTA,840,Edgerton/E Main,,3,,748693,FFFFFF
37794,RGRTA,Campus Local,Geneseo/Campus Local,,3,,173A79,FFFFFF
37795,RGRTA,Express Shopper,Geneseo/Express Shopper,,3,,173A79,FFFFFF
37796,RGRTA,Knight Express,Geneseo/Knight Express,,3,,173A79,FFFFFF
37797,RGRTA,Rochester & UR,Geneseo/Rochester & UR,,3,,173A79,FFFFFF
37798,RGRTA,Rochester,Geneseo/Rochester,,3,,173A79,FFFFFF
37799,RGRTA,Eastview,Geneseo/Eastview,,3,,173A79,FFFFFF
37800,RGRTA,Letchworth,Geneseo/Letchworth,,3,,173A79,FFFFFF
37801,RGRTA,Stony Brook,Geneseo/Stony Brook,,3,,173A79,FFFFFF
37802,RGRTA,Warsaw,Village of Warsaw,,3,,,
